phrase,phrase ids,sentiment values,overall sentiment,sentiment_value,sentence_index,splitset_label
The Fast Runner ' transports the viewer into an unusual space,69288,0.51389,neutral,2,2484,1
"The Four Feathers has rewards , from the exoticism of its seas of sand to the fierce grandeur of its sweeping battle scenes .",46910,0.79167,positive,3,2112,1
"The Four Feathers is definitely horse feathers , but if you go in knowing that , you might have fun in this cinematic sandbox .",109421,0.68056,positive,3,5843,1
"The French director has turned out nearly 21\/2 hours of unfocused , excruciatingly tedious cinema that , half an hour in , starts making water torture seem appealing .",109424,0.11111,very negative,0,5977,1
The Good Girl is a film in which the talent is undeniable but the results are underwhelming .,109432,0.38889,negative,1,6141,1
The Grey Zone gives voice to a story that needs to be heard in the sea of Holocaust movies ... but the film suffers from its own difficulties .,226114,0.58333,neutral,2,1745,1
The Hanukkah spirit seems fried in pork .,187797,0.375,negative,1,11480,1
"The Hours , a delicately crafted film , is an impressive achievement in spite of a river of sadness that pours into every frame .",69300,0.75,positive,3,3634,1
The IMAX screen enhances the personal touch of manual animation .,69304,0.83333,very positive,4,3622,1
"The Importance of Being Earnest , so thick with wit it plays like a reading from Bartlett 's Familiar Quotations",109435,0.66667,positive,3,4550,1
The Importance of Being Earnest movie seems to be missing a great deal of the acerbic repartee of the play . '',226120,0.20833,negative,1,5314,1
The Irwins ' scenes are fascinating ; the movie as a whole is cheap junk and an insult to their death-defying efforts .,187814,0.15278,very negative,0,10604,1
The Komediant is a tale worth catching .,69309,0.75,positive,3,2359,1
The Lady and the Duke is Eric Rohmer 's economical antidote to the bloated costume drama,109437,0.51389,neutral,2,5334,1
"The Lady and the Duke is a smart , romantic drama that dares to depict the French Revolution from the aristocrats ' perspective .",109438,0.73611,positive,3,4590,1
"The Last Kiss will probably never achieve the popularity of My Big Fat Greek Wedding , but its provocative central wedding sequence has far more impact .",69323,0.79167,positive,3,3661,1
The Master of Disguise falls under the category of ` should have been a sketch on Saturday Night Live . ',187831,0.27778,negative,1,11340,1
The Master of Disguise is awful .,226124,0.027778,very negative,0,11077,1
"The Master of Disguise is funny -- not `` ha ha '' funny , `` dead circus performer '' funny .",226129,0.52778,neutral,2,6254,1
"The Master of Disguise may have made a great Saturday Night Live sketch , but a great movie it is not .",187833,0.23611,negative,1,9937,1
The Master of Disguise represents Adam Sandler 's latest attempt to dumb down the universe .,109447,0.20833,negative,1,6309,1
"The Merchant-Ivory team continues to systematically destroy everything we hold dear about cinema , only now it 's begun to split up so that it can do even more damage .",187835,0.29167,negative,1,9851,1
"The Mothman Prophecies , which is mostly a bore , seems to exist only for its climactic setpiece .",187840,0.31944,negative,1,9240,1
The Mothman Prophecies is best when illustrating the demons bedevilling the modern masculine journey .,46929,0.66667,positive,3,2078,1
"The Movie is clever , offbeat and even gritty enough to overcome my resistance .",226136,0.73611,positive,3,2865,1
The Pianist is Polanski 's best film .,46931,0.83333,very positive,4,1936,1
The Pianist is the film Roman Polanski may have been born to make .,46932,0.75,positive,3,1790,1
The Pianist lacks the quick emotional connections of Steven Spielberg 's Schindler 's List .,109454,0.41667,neutral,2,5478,1
"The Piano Teacher , like its title character , is repellantly out of control .",109458,0.30556,negative,1,6541,1
The Piano Teacher is not an easy film .,109459,0.38889,negative,1,5159,1
"The Pinochet Case is a searing album of remembrance from those who , having survived , suffered most .",69342,0.55556,neutral,2,4126,1
The Pool drowned me in boredom .,109468,0.27778,negative,1,5979,1
The Porky 's Revenge : Ultimate Edition ?,187848,0.43056,neutral,2,11595,1
"The Powerpuff Girls arrive on the big screen with their super-powers , their super-simple animation and their super-dooper-adorability intact .",69343,0.77778,positive,3,3899,1
"The Quiet American is n't a bad film , it 's just one that could easily wait for your pay per view dollar .",69347,0.33333,negative,1,3108,1
"The Ring is worth a look , if you do n't demand much more than a few cheap thrills from your Halloween entertainment .",69349,0.47222,neutral,2,2561,1
The Ring never lets you off the hook .,226165,0.70833,positive,3,3280,1
The Rock has a great presence but one battle after another is not the same as one battle followed by killer CGI effects .,187851,0.56944,neutral,2,9830,1
"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",226166,0.69444,positive,3,1,1
The Rules of Attraction gets us too drunk on the party favors to sober us up with the transparent attempts at moralizing .,187854,0.26389,negative,1,11496,1
"The Saigon of 1952 is an uneasy mix of sensual delights and simmering violence , and The Quiet American brings us right into the center of that world .",46955,0.70833,positive,3,1805,1
"The Salton Sea has moments of inspired humour , though every scrap is of the darkest variety .",109480,0.625,positive,3,4764,1
The Santa Clause 2 's plot may sound like it was co-written by Mattel executives and lobbyists for the tinsel industry .,149145,0.34722,negative,1,7155,1
"The Santa Clause 2 is a barely adequate babysitter for older kids , but I 've got to give it thumbs down .",187859,0.54167,neutral,2,11469,1
The Santa Clause 2 proves itself a more streamlined and thought out encounter than the original could ever have hoped to be .,69352,0.70833,positive,3,4058,1
The Scorpion King is more fun than Conan the Barbarian .,69354,0.68056,positive,3,2980,1
"The Son Of The Bride 's humour is born out of an engaging storyline , which also is n't embarrassed to make you reach for the tissues .",226169,0.84722,very positive,4,3069,1
The Spalding Gray equivalent of a teen gross-out comedy .,187874,0.44444,neutral,2,11042,1
"The Sum of All Fears pretends to be a serious exploration of nuclear terrorism , but it 's really nothing more than warmed-over Cold War paranoia .",187883,0.15278,very negative,0,9692,1
The Sundance Film Festival has become so buzz-obsessed that fans and producers descend upon Utah each January to ferret out The Next Great Thing .,226173,0.55556,neutral,2,467,1
"The Sweetest Thing , a romantic comedy with outrageous tendencies , may be a mess in a lot of ways .",226174,0.44444,neutral,2,2771,1
The Sweetest Thing is expressly for idiots who do n't care what kind of sewage they shovel into their mental gullets to simulate sustenance .,187884,0.055556,very negative,0,9256,1
The Sweetest Thing leaves a bitter taste .,187885,0.19444,very negative,0,10998,1
The Sweetest Thing leaves an awful sour taste .,187886,0.23611,negative,1,9841,1
The Transporter bombards the viewer with so many explosions and side snap kicks that it ends up being surprisingly dull .,149162,0.20833,negative,1,6998,1
The Trials of Henry Kissinger is a remarkable piece of filmmaking ... because you get it .,226177,0.88889,very positive,4,3057,1
"The Trinity Assembly approaches the endeavor with a shocking lack of irony , and George Ratliff 's documentary , Hell House , reflects their earnestness -- which makes for a terrifying film .",69370,0.43056,neutral,2,2525,1
The Tuxedo miscalculates badly by forcing the star to play second fiddle to the dull effects that allow the suit to come to life .,187893,0.11111,very negative,0,9215,1
"The Tuxedo was n't just bad ; it was , as my friend David Cross would call it , ` Hungry-Man portions of bad ' .",109505,0.26389,negative,1,6280,1
"The Way Home is an ode to unconditional love and compassion garnered from years of seeing it all , a condition only the old are privy to , and ... often misconstrued as weakness .",109510,0.66667,positive,3,5636,1
The Wild Thornberrys Movie has all the sibling rivalry and general family chaos to which anyone can relate .,109518,0.68056,positive,3,5616,1
The Wild Thornberrys Movie is pleasant enough and the message of our close ties with animals can certainly not be emphasized enough .,109522,0.75,positive,3,5244,1
"The Woodman seems to have directly influenced this girl-meets-girl love story , but even more reassuring is how its makers actually seem to understand what made Allen 's romantic comedies so pertinent and enduring .",69379,0.77778,positive,3,3387,1
The Ya-Ya 's have many secrets and one is - the books are better .,226183,0.19444,very negative,0,2219,1
"The abiding impression , despite the mild hallucinogenic buzz , is of overwhelming waste -- the acres of haute couture ca n't quite conceal that there 's nothing resembling a spine here .",187907,0.375,negative,1,11517,1
"The acting , for the most part , is terrific , although the actors must struggle with the fact that they 're playing characters who sometimes feel more like literary conceits than flesh-and-blood humans .",109529,0.66667,positive,3,5084,1
"The acting in Pauline And Paulette is good all round , but what really sets the film apart is Debrauwer 's refusal to push the easy emotional buttons .",109531,0.81944,very positive,4,5587,1
"The acting is amateurish , the cinematography is atrocious , the direction is clumsy , the writing is insipid and the violence is at once luridly graphic and laughably unconvincing .",187917,0,very negative,0,9769,1
The acting is fine but the script is about as interesting as a recording of conversations at the Wal-Mart checkout line .,109535,0.31944,negative,1,5938,1
"The acting is just fine , but there 's not enough substance here to sustain interest for the full 90 minutes , especially with the weak payoff .",187922,0.33333,negative,1,10167,1
The acting is n't much better .,109536,0.19444,very negative,0,5904,1
"The action here is unusually tame , the characters are too simplistic to maintain interest , and the plot offers few surprises .",187927,0.30556,negative,1,9207,1
"The action is reasonably well-done ... yet story , character and comedy bits are too ragged to ever fit smoothly together .",109541,0.59722,neutral,2,6510,1
The action quickly sinks into by-the-numbers territory .,187928,0.27778,negative,1,11114,1
"The action scenes have all the suspense of a 20-car pileup , while the plot holes are big enough for a train car to drive through -- if Kaos had n't blown them all up .",187930,0.16667,very negative,0,10368,1
The action sequences are fun and reminiscent of combat scenes from the Star Wars series .,109546,0.72222,positive,3,4948,1
The actors are fantastic .,226186,0.94444,very positive,4,473,1
"The actors are simply too good , and the story too intriguing , for technical flaws to get in the way .",69386,0.83333,very positive,4,3431,1
"The actors improvise and scream their way around this movie directionless , lacking any of the rollicking dark humor so necessary to make this kind of idea work on screen .",187931,0.18056,very negative,0,9901,1
The actors must indeed be good to recite some of this laughable dialogue with a straight face .,109547,0.22222,negative,1,6275,1
"The actors pull out all the stops in nearly every scene , but to diminishing effect .",226187,0.41667,neutral,2,10632,1
The actors try hard but come off too amateurish and awkward .,226188,0.16667,very negative,0,7074,1
The actresses find their own rhythm and protect each other from the script 's bad ideas and awkwardness .,69388,0.63889,positive,3,4274,1
"The actresses may have worked up a back story for the women they portray so convincingly , but viewers do n't get enough of that background for the characters to be involving as individuals rather than types .",109552,0.44444,neutral,2,6071,1
The advantage of a postapocalyptic setting is that it can be made on the cheap .,149210,0.36111,negative,1,8517,1
"The adventure does n't contain half the excitement of Balto , or quarter the fun of Toy Story 2 .",149213,0.375,negative,1,7267,1
The all-French cast is marveilleux .,69390,0.94444,very positive,4,4151,1
The amazing film work is so convincing that by movies ' end you 'll swear you are wet in some places and feel sand creeping in others .,69392,0.79167,positive,3,2392,1
The animated sequences are well done and perfectly constructed to convey a sense of childhood imagination and creating adventure out of angst .,109557,0.875,very positive,4,4498,1
"The animation and backdrops are lush and inventive , yet Return to Neverland never manages to take us to that elusive , lovely place where we suspend our disbelief .",187944,0.40278,neutral,2,9444,1
"The animation and game phenomenon that peaked about three years ago is actually dying a slow death , if the poor quality of Pokemon 4 Ever is any indication .",109560,0.11111,very negative,0,6143,1
"The animation is competent , and some of the gags are quite funny , but Jonah ... never shakes the oppressive , morally superior good-for-you quality that almost automatically accompanies didactic entertainment .",187949,0.47222,neutral,2,10646,1
"The animation merely serves up a predictable , maudlin story that swipes heavily from Bambi and The Lion King , yet lacks the emotional resonance of either of those movies .",187950,0.44444,neutral,2,9764,1
"The appeal of the vulgar , sexist , racist humour went over my head or -- considering just how low brow it is -- perhaps it snuck under my feet .",226195,0.13889,very negative,0,8107,1
The art demands live viewing .,226197,0.73611,positive,3,9837,1
"The art direction and costumes are gorgeous and finely detailed , and Kurys ' direction is clever and insightful .",109568,0.91667,very positive,4,5437,1
"The art direction is often exquisite , and the anthropomorphic animal characters are beautifully realized through clever makeup design , leaving one to hope that the eventual DVD release will offer subtitles and the original Italian-language soundtrack .",109573,0.875,very positive,4,6291,1
"The artwork is spectacular and unlike most animaton from Japan , the characters move with grace and panache .",109578,0.86111,very positive,4,5417,1
"The asylum material is gripping , as are the scenes of Jia with his family .",69394,0.80556,very positive,4,3906,1
The attempt to build up a pressure cooker of horrified awe emerges from the simple fact that the movie has virtually nothing to show .,187954,0.15278,very negative,0,11523,1
"The attraction between these two marginal characters is complex from the start -- and , refreshingly , stays that way .",109581,0.75,positive,3,5492,1
"The audacity to view one of Shakespeare 's better known tragedies as a dark comedy is , by itself , deserving of discussion .",69396,0.38889,negative,1,3263,1
"The audience when I saw this one was chuckling at all the wrong times , and that 's a bad sign when they 're supposed to be having a collective heart attack .",149227,0.34722,negative,1,6742,1
The auteur 's ear for the way fears and slights are telegraphed in the most blithe exchanges gives the film its lingering tug .,69400,0.73611,positive,3,3934,1
The author 's devotees will probably find it fascinating ; others may find it baffling .,187960,0.29167,negative,1,10005,1
The banter between Calvin and his fellow barbers feels like a streetwise McLaughlin Group ... and never fails to entertain .,109584,0.72222,positive,3,4654,1
The basic premise is intriguing but quickly becomes distasteful and downright creepy .,109586,0.20833,negative,1,5978,1
"The beautiful , unusual music is this film 's chief draw , but its dreaminess may lull you to sleep .",187977,0.51389,neutral,2,11113,1
The beautifully choreographed kitchen ballet is simple but absorbing .,69402,0.63889,positive,3,2377,1
The beauty of Alexander Payne 's ode to the Everyman is in the details .,109589,0.61111,positive,3,4740,1
The beauty of the piece is that it counts heart as important as humor .,109591,0.76389,positive,3,4906,1
The best animated feature to hit theaters since Beauty and the Beast 11 years ago .,46981,0.83333,very positive,4,1753,1
"The best comedy concert movie I 've seen since Cho 's previous concert comedy film , I 'm the One That I Want , in 2000 .",109594,0.80556,very positive,4,4579,1
The best drug addition movies are usually depressing but rewarding .,149233,0.54167,neutral,2,7092,1
The best film of the year 2002 .,109602,0.79167,positive,3,5621,1
The best movie in many a moon about the passions that sometimes fuel our best achievements and other times leave us stranded with nothing more than our lesser appetites .,109604,0.79167,positive,3,4597,1
The best of the Pierce Brosnan James Bond films to date .,69406,0.66667,positive,3,3173,1
The best part about `` Gangs '' was Daniel Day-Lewis .,226208,0.70833,positive,3,4478,1
The best thing I can say about this film is that I ca n't wait to see what the director does next .,109609,0.875,very positive,4,5514,1
"The best thing about the movie is its personable , amusing cast .",187979,0.72222,positive,3,9437,1
The best thing that can be said of the picture is that it does have a few cute moments .,109611,0.45833,neutral,2,6515,1
The best way to describe it is as a cross between Paul Thomas Anderson 's Magnolia and David Lynch 's Mulholland Dr.,226209,0.5,neutral,2,3079,1
The big ending surprise almost saves the movie .,109613,0.70833,positive,3,6692,1
The big finish is a bit like getting all excited about a chocolate eclair and then biting into it and finding the filling missing .,187981,0.22222,negative,1,11287,1
The big-screen Scooby makes the silly original cartoon seem smart and well-crafted in comparison .,109616,0.18056,very negative,0,6092,1
"The biggest problem with Roger Avary 's uproar against the MPAA is that , even in all its director 's cut glory , he 's made a film that 's barely shocking , barely interesting and most of all , barely anything .",109618,0.13889,very negative,0,5759,1
The biggest problem with Satin Rouge is Lilia herself .,226211,0.29167,negative,1,9869,1
The biggest problem with this movie is that it 's not nearly long enough .,69412,0.55556,neutral,2,4368,1
"The bland outweighs the nifty , and Cletis Tout never becomes the clever crime comedy it thinks it is .",109624,0.44444,neutral,2,6289,1
"The bodily function jokes are about what you 'd expect , but there are rich veins of funny stuff in this movie .",46989,0.76389,positive,3,2116,1
"The bottom line , at least in my opinion , is Imposter makes a better short story than it does a film .",149246,0.26389,negative,1,6824,1
The bottom line is the piece works brilliantly .,69414,0.76389,positive,3,3319,1
"The bottom line with Nemesis is the same as it has been with all the films in the series : Fans will undoubtedly enjoy it , and the uncommitted need n't waste their time on it .",187991,0.69444,positive,3,9831,1
"The boys ' sparring , like the succession of blows dumped on Guei , wears down the story 's more cerebral , and likable , plot elements .",109630,0.40278,neutral,2,6022,1
"The cameo-packed , M : I-2-spoofing title sequence is the funniest 5 minutes to date in this spy comedy franchise ... Then Mike Myers shows up and ruins everything .",109641,0.51389,neutral,2,5834,1
"The camera soars above the globe in dazzling panoramic shots that make the most of the large-screen format , before swooping down on a string of exotic locales , scooping the whole world up in a joyous communal festival of rhythm .",69416,0.84722,very positive,4,3199,1
The camera twirls !,226212,0.54167,neutral,2,10364,1
The camera whirls !,226213,0.40278,neutral,2,10363,1
The campy results make Mel Brooks ' Borscht Belt schtick look sophisticated .,187997,0.625,positive,3,11478,1
"The case is a convincing one , and should give anyone with a conscience reason to pause .",69418,0.81944,very positive,4,4273,1
"The cast , collectively a successful example of the lovable-loser protagonist , shows deft comic timing .",69423,0.75,positive,3,3958,1
"The cast ... keeps this pretty watchable , and casting Mick Jagger as director of the escort service was inspired .",109644,0.61111,positive,3,4645,1
The cast comes through even when the movie does n't .,69424,0.56944,neutral,2,2499,1
The cast delivers without sham the raw-nerved story .,69425,0.72222,positive,3,4109,1
"The cast has a high time , but de Broca has little enthusiasm for such antique pulp .",188002,0.44444,neutral,2,11456,1
"The cast is phenomenal , especially the women .",109645,0.88889,very positive,4,4910,1
The cast is spot on and the mood is laid back .,226217,0.77778,positive,3,4564,1
The cast is top-notch and I predict there will be plenty of female audience members drooling over Michael Idemoto as Michael .,69429,0.86111,very positive,4,2347,1
The casting of Raymond J. Barry as the ` assassin ' greatly enhances the quality of Neil Burger 's impressive fake documentary .,226219,0.68056,positive,3,2125,1
The casting of von Sydow ... is itself Intacto 's luckiest stroke .,46994,0.68056,positive,3,1836,1
The catch is that they 're stuck with a script that prevents them from firing on all cylinders .,226220,0.18056,very negative,0,5919,1
The central character is n't complex enough to hold our interest .,188004,0.47222,neutral,2,9862,1
"The characterizations and dialogue lack depth or complexity , with the ironic exception of Scooter .",188008,0.30556,negative,1,9597,1
"The characters , cast in impossibly contrived situations , are totally estranged from reality .",188012,0.34722,negative,1,10529,1
"The characters ... are paper-thin , and their personalities undergo radical changes when it suits the script .",188013,0.18056,very negative,0,11301,1
"The characters are complex and quirky , but entirely believable as the remarkable ensemble cast brings them to life .",46996,0.80556,very positive,4,2229,1
"The characters are interesting and the relationship between Yosuke and Saeko is worth watching as it develops , but there 's not enough to the story to fill two hours .",188020,0.45833,neutral,2,9584,1
The characters are more deeply thought through than in most ` right-thinking ' films .,69430,0.72222,positive,3,4094,1
The characters are never more than sketches ... which leaves any true emotional connection or identification frustratingly out of reach .,109654,0.125,very negative,0,5750,1
The characters are paper thin and the plot is so cliched and contrived that it makes your least favorite James Bond movie seem as cleverly plotted as The Usual Suspects .,149273,0.11111,very negative,0,7278,1
"The characters are so generic and the plot so bland that even as rogue CIA assassins working for Chris Cooper 's agency boss close in on the resourceful amnesiac , we do n't feel much for Damon\/Bourne or his predicament .",188024,0.16667,very negative,0,9511,1
The characters never change .,226222,0.34722,negative,1,10633,1
"The characters seem one-dimensional , and the film is superficial and will probably be of interest primarily to its target audience .",188030,0.23611,negative,1,10082,1
"The charm of Revolution OS is rather the way it introduces you to new , fervently held ideas and fanciful thinkers .",69433,0.70833,positive,3,3551,1
"The charm of the first movie is still there , and the story feels like the logical , unforced continuation of the careers of a pair of spy kids .",69439,0.76389,positive,3,4419,1
The charming result is Festival in Cannes .,46999,0.77778,positive,3,1970,1
The charms of the lead performances allow us to forget most of the film 's problems .,109657,0.63889,positive,3,5667,1
The chocolate factory without Charlie .,188033,0.36111,negative,1,10198,1
"The cinematic equivalent of patronizing a bar favored by pretentious , untalented artistes who enjoy moaning about their cruel fate .",188036,0.31944,negative,1,11618,1
"The climactic events are so well realized that you may forget all about the original conflict , just like the movie does",69441,0.52778,neutral,2,3043,1
The closest thing to the experience of space travel,109660,0.76389,positive,3,5203,1
The code talkers deserved better than a hollow tribute .,109662,0.36111,negative,1,5781,1
"The color sense of Stuart Little 2 is its most immediate and most obvious pleasure , but it would count for very little if the movie were n't as beautifully shaped and as delicately calibrated in tone as it is .",109669,0.75,positive,3,4802,1
The colorful Masseur wastes its time on mood rather than riding with the inherent absurdity of Ganesh 's rise up the social ladder .,188038,0.36111,negative,1,9675,1
The combination of lightness and strictness in this instance gives Italian for Beginners an amiable aimlessness that keeps it from seeming predictably formulaic .,69444,0.58333,neutral,2,3997,1
The comedy Death to Smoochy is a rancorous curiosity : a movie without an apparent audience .,149283,0.38889,negative,1,7299,1
The comedy is nonexistent .,149284,0.125,very negative,0,7110,1
The comedy makes social commentary more palatable .,109671,0.56944,neutral,2,5237,1
"The complex , politically charged tapestry of contemporary Chinese life this exciting new filmmaker has brought to the screen is like nothing we Westerners have seen before .",109674,0.72222,positive,3,5044,1
The concept behind Kung Pow : Enter the Fist is hilarious .,226225,0.79167,positive,3,9199,1
The concept is a hoot .,188042,0.75,positive,3,9479,1
"The concert footage is stirring , the recording sessions are intriguing , and -- on the way to striking a blow for artistic integrity -- this quality band may pick up new admirers .",69447,0.77778,positive,3,2259,1
"The connected stories of Breitbart and Hanussen are actually fascinating , but the filmmaking in Invincible is such that the movie does not do them justice .",188050,0.31944,negative,1,10988,1
The corpse count ultimately overrides what little we learn along the way about vicarious redemption .,149286,0.30556,negative,1,7145,1
The crap continues .,188052,0.15278,very negative,0,9273,1
The crassness of this reactionary thriller is matched only by the ridiculousness of its premise .,188055,0.31944,negative,1,10339,1
"The creative animation work may not look as fully ` rendered ' as Pixar 's industry standard , but it uses lighting effects and innovative backgrounds to an equally impressive degree .",109680,0.66667,positive,3,5056,1
"The criticism never rises above easy , cynical potshots at morally bankrupt characters ...",109682,0.27778,negative,1,5713,1
The cumulative effect of the movie is repulsive and depressing .,109685,0.125,very negative,0,6132,1
The cumulative effect of watching this 65-minute trifle is rather like being trapped while some weird relative trots out the video he took of the family vacation to Stonehenge .,226227,0.069444,very negative,0,5748,1
The dark and bittersweet twist feels strange as things turn nasty and tragic during the final third of the film .,188057,0.40278,neutral,2,9085,1
The darker elements of misogyny and unprovoked violence suffocate the illumination created by the two daughters and the sparse instances of humor meant to shine through the gloomy film noir veil .,188064,0.25,negative,1,9621,1
The date movie that Franz Kafka would have made .,47001,0.47222,neutral,2,1897,1
"The delicious trimmings ... arrive early and stay late , filling nearly every minute ... with a lighthearted glow , some impudent snickers , and a glorious dose of humankind 's liberating ability to triumph over a Scrooge or two .",226232,0.90278,very positive,4,2925,1
The densest distillation of Roberts ' movies ever made .,188067,0.23611,negative,1,10928,1
"The determination of Pinochet 's victims to seek justice , and their often heartbreaking testimony , spoken directly into director Patricio Guzman 's camera , pack a powerful emotional wallop .",109694,0.81944,very positive,4,4873,1
"The dialogue is cumbersome , the simpering soundtrack and editing more so .",188071,0.22222,negative,1,11277,1
The dialogue is very choppy and monosyllabic despite the fact that it is being dubbed .,109696,0.29167,negative,1,5890,1
The difference between Cho and most comics is that her confidence in her material is merited .,69453,0.61111,positive,3,3663,1
The difference is that I truly enjoyed most of Mostly Martha while I ne,69454,0.72222,positive,3,4008,1
"The directing and story are disjointed , flaws that have to be laid squarely on Taylor 's doorstep .",69458,0.15278,very negative,0,4438,1
"The direction , by George Hickenlooper , has no snap to it , no wiseacre crackle or hard-bitten cynicism .",109700,0.31944,negative,1,5846,1
"The direction has a fluid , no-nonsense authority , and the performances by Harris , Phifer and Cam ` ron seal the deal .",69467,0.72222,positive,3,2358,1
"The direction occasionally rises to the level of marginal competence , but for most of the film it is hard to tell who is chasing who or why .",109705,0.27778,negative,1,6010,1
The directive to protect the code at all costs also begins to blur as the importance of the man and the code merge,69469,0.5,neutral,2,3831,1
The director 's many dodges and turns add up to little more than a screenful of gamesmanship that 's low on both suspense and payoff .,188073,0.20833,negative,1,9614,1
"The director , Mark Pellington , does a terrific job conjuring up a sinister , menacing atmosphere though unfortunately all the story gives us is flashing red lights , a rattling noise , and a bump on the head .",69472,0.75,positive,3,3478,1
"The director , with his fake backdrops and stately pacing , never settles on a consistent tone .",149300,0.15278,very negative,0,7124,1
"The director and her capable cast appear to be caught in a heady whirl of New Age-inspired good intentions , but the spell they cast is n't the least bit mesmerizing .",109712,0.47222,neutral,2,5831,1
The director explores all three sides of his story with a sensitivity and an inquisitiveness reminiscent of Truffaut .,47002,0.70833,positive,3,2036,1
The director has injected self-consciousness into the proceedings at every turn .,109713,0.40278,neutral,2,5924,1
"The director mostly plays it straight , turning Leys ' fable into a listless climb down the social ladder .",149306,0.375,negative,1,6940,1
The dirty jokes provide the funniest moments in this oddly sweet comedy about jokester highway patrolmen .,109716,0.68056,positive,3,4728,1
The disjointed mess flows as naturally as Jolie 's hideous yellow ` do .,149309,0.125,very negative,0,7014,1
"The documentary is much too conventional -- lots of boring talking heads , etc. -- to do the subject matter justice .",226233,0.16667,very negative,0,9400,1
The dominant feeling is something like nostalgia . ',226234,0.56944,neutral,2,4618,1
"The doofus-on - the-loose banter of Welcome to Collinwood has a cocky , after-hours loopiness to it .",149315,0.47222,neutral,2,6844,1
"The dose is strong and funny , for the first 15 minutes anyway ; after that , the potency wanes dramatically .",188079,0.43056,neutral,2,9098,1
The dragons are the real stars of Reign of Fire and you wo n't be disappointed .,69477,0.79167,positive,3,3708,1
The drama discloses almost nothing .,188080,0.23611,negative,1,11349,1
"The drama was so uninspiring that even a story immersed in love , lust , and sin could n't keep my attention .",109719,0.15278,very negative,0,6329,1
"The dramatic crisis does n't always succeed in its quest to be taken seriously , but Huppert 's volatile performance makes for a riveting movie experience .",109725,0.59722,neutral,2,4663,1
"The dramatic scenes are frequently unintentionally funny , and the action sequences -- clearly the main event -- are surprisingly uninvolving .",188086,0.26389,negative,1,10960,1
The early and middle passages are surprising in how much they engage and even touch us .,109727,0.86111,very positive,4,5277,1
"The effort is sincere and the results are honest , but the film is so bleak that it 's hardly watchable .",109739,0.19444,very negative,0,5727,1
The elements were all there but lack of a pyschological center knocks it flat .,149333,0.38889,negative,1,6791,1
"The emotion is impressively true for being so hot-blooded , and both leads are up to the task .",69483,0.875,very positive,4,4340,1
The emotional overload of female angst irreparably drags the film down .,188089,0.15278,very negative,0,9302,1
The end result is like cold porridge with only the odd enjoyably chewy lump .,109741,0.38889,negative,1,6723,1
"The ending does n't work ... but most of the movie works so well I 'm almost recommending it , anyway -- maybe not to everybody , but certainly to people with a curiosity about how a movie can go very right , and then step wrong .",149339,0.51389,neutral,2,6819,1
The ending feels at odds with the rest of the film .,109742,0.61111,positive,3,4742,1
The engagingly primitive animated special effects contribute to a mood that 's sustained through the surprisingly somber conclusion .,109744,0.63889,positive,3,5412,1
"The enjoyable Undercover Brother , a zany mix of Saturday Night Live-style parody , '70s Blaxploitation films and goofball action comedy gone wild , dishes out a ton of laughs that everyone can enjoy .",69488,0.91667,very positive,4,3644,1
"The ensemble cast turns in a collectively stellar performance , and the writing is tight and truthful , full of funny situations and honest observations .",69494,0.875,very positive,4,4026,1
The entire cast is extraordinarily good .,47011,0.88889,very positive,4,2139,1
"The entire cast is first-rate , especially Sorvino .",69495,0.88889,very positive,4,4358,1
The entire film is one big excuse to play one lewd scene after another .,226240,0.069444,very negative,0,9195,1
The entire movie establishes a wonderfully creepy mood .,47013,0.86111,very positive,4,1988,1
"The entire movie has a truncated feeling , but what 's available is lovely and lovable .",109749,0.59722,neutral,2,4635,1
The entire movie is filled with deja vu moments .,188092,0.51389,neutral,2,11081,1
The entire movie is in need of a scented bath .,188093,0.19444,very negative,0,10711,1
The entire movie is so formulaic and forgettable that it 's hardly over before it begins to fade from memory .,109750,0.11111,very negative,0,6049,1
"The entire point of a shaggy dog story , of course , is that it goes nowhere , and this is classic nowheresville in every sense .",188103,0.20833,negative,1,10727,1
"The ethos of the Chelsea Hotel may shape Hawke 's artistic aspirations , but he has n't yet coordinated his own DV poetry with the Beat he hears in his soul .",188110,0.375,negative,1,11124,1
The events of the film are just so WEIRD that I honestly never knew what the hell was coming next .,109753,0.29167,negative,1,4602,1
"The evocative imagery and gentle , lapping rhythms of this film are infectious -- it gets under our skin and draws us in long before the plot kicks into gear .",69502,0.79167,positive,3,3841,1
The exclamation point seems to be the only bit of glee you 'll find in this dreary mess .,188113,0.15278,very negative,0,10221,1
The execution is so pedestrian that the most positive comment we can make is that Rob Schneider actually turns in a pretty convincing performance as a prissy teenage girl .,109755,0.43056,neutral,2,5704,1
"The exploitative , clumsily staged violence overshadows everything , including most of the actors .",188115,0.61111,positive,3,11215,1
"The explosion essentially ruined -- or , rather , overpowered -- the fiction of the movie for me .",188120,0.29167,negative,1,10334,1
The extent to which it succeeds is impressive .,226241,0.77778,positive,3,1726,1
"The fact is that the screen is most alive when it seems most likely that Broomfield 's interviewees , or even himself , will not be for much longer .",47017,0.69444,positive,3,1898,1
The fact that it is n't very good is almost beside the point .,226242,0.26389,negative,1,7307,1
