,phrase,phrase ids,sentiment values,overall sentiment,sentiment_value,sentence_index,splitset_label
510,It offers little beyond the momentary joys of pretty and weightless intellectual entertainment .,146732,0.31944,negative,1,7860,3
511,"It proves quite compelling as an intense , brooding character study .",45828,0.79167,positive,3,1412,3
512,It provides an honest look at a community striving to anchor itself in new grounds .,25799,0.73611,positive,3,1172,3
513,"It provides the grand , intelligent entertainment of a superior cast playing smart people amid a compelling plot .",25800,0.90278,very positive,4,1138,3
514,It seems like I have been waiting my whole life for this movie and now I ca n't wait for the sequel .,45834,0.75,positive,3,1347,3
515,"It showcases Carvey 's talent for voices , but not nearly enough and not without taxing every drop of one 's patience to get to the good stuff .",146741,0.22222,negative,1,7827,3
516,"It takes a certain kind of horror movie to qualify as ` worse than expected , ' but Ghost Ship somehow manages to do exactly that .",146749,0.11111,very negative,0,7515,3
517,"It takes a strange kind of laziness to waste the talents of Robert Forster , Anne Meara , Eugene Levy , and Reginald VelJohnson all in the same movie .",146750,0.11111,very negative,0,7419,3
518,It takes talent to make a lifeless movie about the most heinous man who ever lived .,146751,0.29167,negative,1,7820,3
519,It treats women like idiots .,146753,0.19444,very negative,0,7430,3
520,It uses the pain and violence of war as background material for color .,146755,0.45833,neutral,2,7738,3
521,It wants to tweak them with a taste of tangy new humor .,45835,0.72222,positive,3,1574,3
522,"It will grip even viewers who are n't interested in rap , as it cuts to the heart of American society in an unnerving way .",45836,0.76389,positive,3,1514,3
523,"It will not appeal to the impatient , but those who like long books and movies will admire the way it accumulates power and depth .",45841,0.47222,neutral,2,1364,3
524,"Its maker , Steven Spielberg , has n't had so much fun in two decades , since he was schlepping Indiana Jones around the globe in search of a giant misplaced ashtray .",45848,0.52778,neutral,2,1638,3
525,"Its story may be a thousand years old , but why did it have to seem like it took another thousand to tell it to us ?",146797,0.29167,negative,1,7702,3
526,Jacquot 's rendering of Puccini 's tale of devotion and double-cross is more than just a filmed opera .,146816,0.47222,neutral,2,7492,3
527,"Jason X is positively anti-Darwinian : nine sequels and 400 years later , the teens are none the wiser and Jason still kills on auto-pilot .",146850,0.30556,negative,1,7794,3
528,Jones ... does offer a brutal form of charisma .,45905,0.65278,positive,3,1612,3
529,"Jose Campanella delivers a loosely autobiographical story brushed with sentimentality but brimming with gentle humor , bittersweet pathos , and lyric moments that linger like snapshots of memory .",25874,0.84722,very positive,4,1204,3
530,Just an average comedic dateflick but not a waste of time .,146946,0.58333,neutral,2,7432,3
531,"Just as moving , uplifting and funny as ever .",45923,0.79167,positive,3,1512,3
532,Just embarrassment and a vague sense of shame .,224496,0.19444,very negative,0,7373,3
533,Just one bad idea after another .,146968,0.375,negative,1,7396,3
534,K-19 exploits our substantial collective fear of nuclear holocaust to generate cheap Hollywood tension .,146976,0.19444,very negative,0,7471,3
535,Kept aloft largely by a comically adept ensemble .,45947,0.45833,neutral,2,1585,3
536,"Kinnear does n't aim for our sympathy , but rather delivers a performance of striking skill and depth .",25901,0.73611,positive,3,1278,3
537,LaPaglia 's ability to convey grief and hope works with Weaver 's sensitive reactions to make this a two-actor master class .,25920,0.79167,positive,3,1244,3
538,"Lan Yu is at times too restrained , yet there are moments it captures the erotics of intimacy in a way that makes most American love stories look downright unfree .",45984,0.52778,neutral,2,1647,3
539,Late Marriage 's stiffness is unlikely to demonstrate the emotional clout to sweep U.S. viewers off their feet .,224570,0.30556,negative,1,7773,3
540,Leigh 's film is full of memorable performances from top to bottom .,25951,0.95833,very positive,4,1202,3
541,"Less dizzying than just dizzy , the jaunt is practically over before it begins .",147127,0.25,negative,1,7352,3
542,Let 's hope -- shall we ?,224604,0.5,neutral,2,7777,3
543,Light years \/ several warp speeds \/ levels and levels of dilithium crystals better than the pitiful Insurrection .,224613,0.61111,positive,3,1649,3
544,"Like Leon , it 's frustrating and still oddly likable .",25979,0.625,positive,3,1258,3
545,"Like Mike is a winner for kids , and no doubt a winner for Lil Bow Wow , who can now add movies to the list of things he does well .",25980,0.90278,very positive,4,1156,3
546,Like Mike is n't interested in recycling old cliches .,46020,0.55556,neutral,2,1573,3
547,"Like all abstract art , the film does not make this statement in an easily accessible way , and -- unless prewarned -- it would be very possible for a reasonably intelligent person to sit through its tidal wave of imagery and not get this vision at all .",224629,0.44444,neutral,2,7591,3
548,Like being trapped at a perpetual frat party ... How can something so gross be so boring ?,147172,0.16667,very negative,0,7872,3
549,Like the Chelsea 's denizens ... Burdette 's collage-form scenario tends to over-romanticize the spiritual desolation of the struggling artiste .,147180,0.40278,neutral,2,7811,3
550,Like watching a dress rehearsal the week before the show goes up : everything 's in place but something 's just a little off-kilter .,147184,0.27778,negative,1,7742,3
551,Like you could n't smell this turkey rotting from miles away .,224640,0.13889,very negative,0,7484,3
552,Likely to expertly drum up repressed teenage memories in any viewer .,46028,0.55556,neutral,2,1616,3
553,"Liotta put on 30 pounds for the role , and has completely transformed himself from his smooth , Goodfellas image .",46032,0.70833,positive,3,1547,3
554,Long Time Dead ?,147224,0.5,neutral,2,7841,3
555,"Looking aristocratic , luminous yet careworn in Jane Hamilton 's exemplary costumes , Rampling gives a performance that could not be improved upon . '",224655,0.93056,very positive,4,1261,3
556,Looks and feels like a project better suited for the small screen .,147234,0.31944,negative,1,7340,3
557,Lovely and poignant .,46047,0.88889,very positive,4,1499,3
558,"MacDowell , whose wifty Southern charm has anchored lighter affairs ... brings an absolutely riveting conviction to her role .",46061,0.75,positive,3,1454,3
559,Made with no discernible craft and monstrously sanctimonious in dealing with childhood loss .,147300,0.22222,negative,1,7479,3
560,"Majidi is an unconventional storyteller , capable of finding beauty in the most depressing places .",46076,0.72222,positive,3,1662,3
561,Makes even the claustrophobic on-board quarters seem fun .,26037,0.56944,neutral,2,1181,3
562,Makes for a pretty unpleasant viewing experience .,147311,0.13889,very negative,0,7824,3
563,"Makes for some truly odd , at times confusing , kids entertainment ... but at least this time there 's some centered storytelling to go along with all the weird stuff .",147313,0.51389,neutral,2,7490,3
564,Manages to be both repulsively sadistic and mundane .,147332,0.13889,very negative,0,7758,3
565,"Manages to be somewhat well-acted , not badly art-directed and utterly unengaging no matter how hard it tries to be thrilling , touching or , yikes , uproarious .",147333,0.43056,neutral,2,7717,3
566,Manages to be sweet and wickedly satisfying at the same time .,26041,0.93056,very positive,4,1311,3
567,Manages to show life in all of its banality when the intention is quite the opposite .,147334,0.22222,negative,1,7522,3
568,"Manages to transcend the sex , drugs and show-tunes plot into something far richer .",26042,0.86111,very positive,4,1242,3
569,"Maneuvers skillfully through the plot 's hot brine -- until it 's undone by the sogginess of its contemporary characters , and actors .",46089,0.44444,neutral,2,1428,3
570,"Martin and Barbara are complex characters -- sometimes tender , sometimes angry -- and the delicate performances by Sven Wollter and Viveka Seldahl make their hopes and frustrations vivid .",46110,0.84722,very positive,4,1383,3
571,"Mattei is tiresomely grave and long-winded , as if circularity itself indicated profundity .",147368,0.16667,very negative,0,7857,3
572,"Maud and Roland 's search for an unknowable past makes for a haunting literary detective story , but LaBute pulls off a neater trick in Possession : He makes language sexy .",26061,0.83333,very positive,4,1308,3
573,"May be far from the best of the series , but it 's assured , wonderfully respectful of its past and thrilling enough to make it abundantly clear that this movie phenomenon has once again reinvented itself for a new generation .",26063,0.72222,positive,3,1194,3
574,May reawaken discussion of the Kennedy assassination but this fictional film looks made for cable rather than for the big screen .,147385,0.27778,negative,1,7831,3
575,"McConaughey 's fun to watch , the dragons are okay , not much fire in the script .",147399,0.63889,positive,3,7849,3
576,Michael Gerbosi 's script is economically packed with telling scenes .,46172,0.83333,very positive,4,1474,3
577,"Miller is playing so free with emotions , and the fact that children are hostages to fortune , that he makes the audience hostage to his swaggering affectation of seriousness .",147455,0.79167,positive,3,7626,3
578,"Minority Report is exactly what the title indicates , a report .",147456,0.625,positive,3,7524,3
579,Mom and Dad can catch some quality naptime along the way .,147476,0.44444,neutral,2,7349,3
580,Montias ... pumps a lot of energy into his nicely nuanced narrative and surrounds himself with a cast of quirky -- but not stereotyped -- street characters .,26099,0.84722,very positive,4,1265,3
581,"Moody , heartbreaking , and filmed in a natural , unforced style that makes its characters seem entirely convincing even when its script is not .",46203,0.69444,positive,3,1450,3
582,More concerned with Sade 's ideas than with his actions .,46208,0.55556,neutral,2,1539,3
583,More maudlin than sharp .,147489,0.40278,neutral,2,7628,3
584,"More romantic , more emotional and ultimately more satisfying than the teary-eyed original .",46218,0.81944,very positive,4,1565,3
585,More whiny downer than corruscating commentary .,147491,0.22222,negative,1,7724,3
586,Moretti 's compelling anatomy of grief and the difficult process of adapting to loss .,46221,0.38889,negative,1,1463,3
587,"Morton uses her face and her body language to bring us Morvern 's soul , even though the character is almost completely deadpan .",46226,0.70833,positive,3,1414,3
588,"Movie fans , get ready to take off ... the other direction .",147517,0.30556,negative,1,7618,3
589,"Mr. Tsai is a very original artist in his medium , and What Time Is It There ?",224996,0.83333,very positive,4,1443,3
590,"Much as we might be interested in gratuitous sexualization , Haneke has a different objective in mind -- namely the implications of our craving for fake stimulation .",46271,0.55556,neutral,2,1356,3
591,My Big Fat Greek Wedding uses stereotypes in a delightful blend of sweet romance and lovingly dished out humor .,46276,0.80556,very positive,4,1584,3
592,My Wife Is an Actress is an utterly charming French comedy that feels so American in sensibility and style it 's virtually its own Hollywood remake .,46282,0.83333,very positive,4,1513,3
593,My reaction in a word : disappointment .,147593,0.18056,very negative,0,7645,3
594,My thoughts were focused on the characters .,46288,0.72222,positive,3,1335,3
595,"Nasty , ugly , pointless and depressing , even if you hate clowns .",147620,0.45833,neutral,2,7735,3
596,"Neither Parker nor Donovan is a typical romantic lead , but they bring a fresh , quirky charm to the formula .",26171,0.72222,positive,3,1207,3
597,"Nelson 's brutally unsentimental approach ... sucks the humanity from the film , leaving behind an horrific but weirdly unemotional spectacle .",147638,0.18056,very negative,0,7689,3
598,Nervous breakdowns are not entertaining .,147643,0.23611,negative,1,7869,3
599,New Best Friend 's Playboy-mansion presentation of college life is laugh-out-loud ludicrous .,147665,0.40278,neutral,2,7667,3
600,"Nicks , seemingly uncertain what 's going to make people laugh , runs the gamut from stale parody to raunchy sex gags to formula romantic comedy .",147690,0.20833,negative,1,7333,3
601,"Nine Queens is not only than a frighteningly capable debut and genre piece , but also a snapshot of a dangerous political situation on the verge of coming to a head .",26194,0.83333,very positive,4,1288,3
602,No aspirations to social import inform the movie version .,225155,0.375,negative,1,7715,3
603,No one but a convict guilty of some truly heinous crime should have to sit through The Master of Disguise .,147725,0.13889,very negative,0,7622,3
604,"No one goes unindicted here , which is probably for the best .",225163,0.51389,neutral,2,1118,3
605,No screen fantasy-adventure in recent memory has the showmanship of Clones ' last 45 minutes .,46341,0.88889,very positive,4,1433,3
606,"No sophomore slump for director Sam Mendes , who segues from Oscar winner to Oscar-winning potential with a smooth sleight of hand .",26203,0.90278,very positive,4,1314,3
607,No telegraphing is too obvious or simplistic for this movie .,147731,0.29167,negative,1,7339,3
608,No way I can believe this load of junk .,147733,0.16667,very negative,0,7369,3
609,"Nonsensical , dull `` cyber-horror '' flick is a grim , hollow exercise in flat scares and bad acting .",225176,0.097222,very negative,0,7756,3
610,"Not a film to rival To Live , but a fine little amuse-bouche to keep your appetite whetted .",46348,0.56944,neutral,2,1451,3
611,Not an objectionable or dull film ; it merely lacks everything except good intentions .,147775,0.11111,very negative,0,7543,3
612,Not exactly the Bees Knees,147787,0.34722,negative,1,7487,3
613,"Not far beneath the surface , this reconfigured tale asks disturbing questions about those things we expect from military epics .",26225,0.61111,positive,3,1184,3
614,"Not for the prurient or squeamish , it 's a daring if overlong examination of an idolized culture , self-loathing and sexual politics .",46356,0.56944,neutral,2,1341,3
615,Not nearly long enough .,225201,0.47222,neutral,2,7842,3
616,"Not only are the special effects and narrative flow much improved , and Daniel Radcliffe more emotionally assertive this time around as Harry , but the film conjures the magic of author J.K. Rowling 's books .",225202,0.83333,very positive,4,1209,3
617,"Not only is Undercover Brother as funny , if not more so , than both Austin Powers films , but it 's also one of the smarter , savvier spoofs to come along in some time .",26229,0.81944,very positive,4,1147,3
618,"Not only unfunny , but downright repellent .",147796,0.11111,very negative,0,7467,3
619,Not really bad so much as distasteful : We need kidnapping suspense dramas right now like we need doomsday thrillers .,147798,0.375,negative,1,7833,3
620,Not since Freddy Got Fingered has a major release been so painful to sit through .,147800,0.15278,very negative,0,7600,3
621,Not since Japanese filmmaker Akira Kurosawa 's Ran have the savagery of combat and the specter of death been visualized with such operatic grandeur .,46359,0.80556,very positive,4,1504,3
622,Not since Tom Cruise in Risky Business has an actor made such a strong impression in his underwear .,46361,0.76389,positive,3,1436,3
623,"Not the kind of film that will appeal to a mainstream American audience , but there is a certain charm about the film that makes it a suitable entry into the fest circuit .",46368,0.80556,very positive,4,1656,3
624,"Nothing 's at stake , just a twisty double-cross you can smell a mile away -- still , the derivative Nine Queens is lots of fun .",26237,0.69444,positive,3,1126,3
625,Nothing in Waking Up in Reno ever inspired me to think of its inhabitants as anything more than markers in a screenplay .,147814,0.13889,very negative,0,7862,3
626,Nothing is black and white .,225213,0.52778,neutral,2,1431,3
627,Nothing is sacred in this gut-buster .,46371,0.375,negative,1,1623,3
628,Nothing more substantial than a fitfully clever doodle .,147818,0.52778,neutral,2,7843,3
629,"Of course , by more objective measurements it 's still quite bad .",225276,0.23611,negative,1,7698,3
630,"Offers much to enjoy ... and a lot to mull over in terms of love , loyalty and the nature of staying friends .",46379,0.69444,positive,3,1370,3
631,"Offers very little genuine romance and even fewer laughs ... a sad sitcom of a movie , largely devoid of charm .",147872,0.20833,negative,1,7823,3
632,Oh come on .,225287,0.27778,negative,1,7483,3
633,Old-form moviemaking at its best .,26275,0.88889,very positive,4,1316,3
634,"On the bright side , it contains Jesse Ventura 's best work since the XFL .",147885,0.58333,neutral,2,7516,3
635,"On the heels of The Ring comes a similarly morose and humorless horror movie that , although flawed , is to be commended for its straight-ahead approach to creepiness .",46405,0.625,positive,3,1559,3
636,"On the whole , the movie lacks wit , feeling and believability to compensate for its incessant coarseness and banality .",147892,0.19444,very negative,0,7821,3
637,"On this tricky topic , Tadpole is very much a step in the right direction , with its blend of frankness , civility and compassion .",26282,0.875,very positive,4,1263,3
638,"Once the 50 year old Benigni appears as the title character , we find ourselves longing for the block of wood to come back .",147902,0.34722,negative,1,7415,3
639,One from the heart .,46418,0.75,positive,3,1538,3
640,One long string of cliches .,147910,0.22222,negative,1,7685,3
641,"One of creepiest , scariest movies to come along in a long , long time , easily rivaling Blair Witch or The Others .",26292,0.66667,positive,3,1307,3
642,One of the best films of the year with its exploration of the obstacles to happiness faced by five contemporary individuals ... a psychological masterpiece .,26296,0.91667,very positive,4,1183,3
643,One of the more intelligent children 's movies to hit theaters this year .,46423,0.90278,very positive,4,1338,3
644,"One of the more irritating cartoons you will see this , or any , year .",147915,0.027778,very negative,0,7498,3
645,One of the most significant moviegoing pleasures of the year .,26299,0.97222,very positive,4,1203,3
646,One of the smartest takes on singles culture I 've seen in a long time .,46429,0.83333,very positive,4,1417,3
647,"One of those energetic surprises , an original that pleases almost everyone who sees it .",46433,0.97222,very positive,4,1609,3
648,"One of those pictures whose promising , if rather precious , premise is undercut by amateurish execution .",147922,0.33333,negative,1,7805,3
649,"Open-minded kids -- kids who read , kids who dream -- will be comforted by the way it deals with big issues like death and destiny .",46438,0.56944,neutral,2,1477,3
650,Or doing last year 's taxes with your ex-wife .,225340,0.29167,negative,1,7889,3
651,Or emptying rat traps .,147951,0.36111,negative,1,7888,3
652,"Oscar Wilde 's masterpiece , The Importance of Being Earnest , may be the best play of the 19th century .",225347,0.79167,positive,3,1639,3
653,"Outer-space buffs might love this film , but others will find its pleasures intermittent .",147974,0.38889,negative,1,7661,3
654,Over age 15 ?,147982,0.47222,neutral,2,7449,3
655,Overall the film feels like a low-budget TV pilot that could not find a buyer to play it on the tube .,147985,0.22222,negative,1,7405,3
656,Overall very good for what it 's trying to do .,46463,0.77778,positive,3,1407,3
657,"Pacino is brilliant as the sleep-deprived Dormer , his increasing weariness as much existential as it is physical .",26323,0.83333,very positive,4,1309,3
658,"Paid In Full is so stale , in fact , that its most vibrant scene is one that uses clips from Brian De Palma 's Scarface .",225382,0.18056,very negative,0,7563,3
659,Part Three Stooges .,46478,0.5,neutral,2,1646,3
660,Part low rent Godfather .,225400,0.27778,negative,1,1645,3
661,"Partway through watching this saccharine , Easter-egg-colored concoction , you realize that it is made up of three episodes of a rejected TV show .",148029,0.16667,very negative,0,7790,3
662,"Passable entertainment , but it 's the kind of motion picture that wo n't make much of a splash when it 's released , and will not be remembered long afterwards .",46482,0.25,negative,1,1509,3
663,People cinema at its finest .,26344,0.875,very positive,4,1238,3
664,"Perceptive in its vision of nascent industrialized world politics as a new art form , but far too clunky , didactic and saddled with scenes that seem simply an ill fit for this movie .",148059,0.26389,negative,1,7847,3
665,Plays like a volatile and overlong W magazine fashion spread .,148119,0.375,negative,1,7602,3
666,"Portentous and pretentious , The Weight of Water is appropriately titled , given the heavy-handedness of it drama .",148144,0.31944,negative,1,7792,3
667,"Prancing his way through the tailor-made part of a male hooker approaching the end of his vitality , Jagger obviously relishes every self-mocking moment .",46545,0.59722,neutral,2,1369,3
668,"Preaches to two completely different choirs at the same time , which is a pretty amazing accomplishment .",46548,0.91667,very positive,4,1562,3
669,"Pretension , in its own way , is a form of bravery .",225509,0.52778,neutral,2,7614,3
670,"Professionally speaking , it 's tempting to jump ship in January to avoid ridiculous schlock like this shoddy suspense thriller .",148170,0.16667,very negative,0,7688,3
671,"Prurient playthings aside , there 's little to love about this English trifle .",148185,0.22222,negative,1,7876,3
672,"Pumpkin means to be an outrageous dark satire on fraternity life , but its ambitions far exceed the abilities of writer Adam Larson Broder and his co-director , Tony R. Abrams , in their feature debut .",225529,0.29167,negative,1,7511,3
673,"Pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an uneven tone that you never know when humor ends and tragedy begins .",46565,0.31944,negative,1,1521,3
674,Pumpkin wants to have it both ways .,148198,0.48611,neutral,2,7658,3
675,Puts a human face on a land most Westerners are unfamiliar with .,225544,0.75,positive,3,1500,3
676,"Ramsay , as in Ratcatcher , remains a filmmaker with an acid viewpoint and a real gift for teasing chilly poetry out of lives and settings that might otherwise seem drab and sordid .",46589,0.75,positive,3,1409,3
677,Rare Birds has more than enough charm to make it memorable .,26421,0.75,positive,3,1310,3
678,Rarely has leukemia looked so shimmering and benign .,148242,0.27778,negative,1,7391,3
679,Rarely has so much money delivered so little entertainment .,148243,0.27778,negative,1,7561,3
680,Reggio 's continual visual barrage is absorbing as well as thought-provoking .,26437,0.79167,positive,3,1270,3
681,Reign of Fire looks as if it was made without much thought -- and is best watched that way .,26442,0.72222,positive,3,1245,3
682,Remember the kind of movie we were hoping `` Ecks vs. Sever '' or `` xXx '' was going to be ?,225598,0.44444,neutral,2,1339,3
683,"Returning aggressively to his formula of dimwitted comedy and even dimmer characters , Sandler , who also executive produces , has made a film that makes previous vehicles look smart and sassy .",148276,0.44444,neutral,2,7854,3
684,Richard Gere and Diane Lane put in fine performances as does French actor Oliver Martinez .,46636,0.79167,positive,3,1663,3
685,"Ruzowitzky has taken this mothball-y stuff and made a rather sturdy , old-fashioned entertainment out of it .",26500,0.58333,neutral,2,1320,3
686,Sacrifices the value of its wealth of archival foot-age with its less-than-objective stance .,148371,0.38889,negative,1,7503,3
687,Sade is an engaging look at the controversial eponymous and fiercely atheistic hero .,26507,0.69444,positive,3,1276,3
688,Sam Mendes has become valedictorian at the School for Soft Landings and Easy Ways Out .,148376,0.34722,negative,1,7700,3
689,"Samira Makhmalbaf 's new film Blackboards is much like the ethos of a stream of consciousness , although , it 's unfortunate for the viewer that the thoughts and reflections coming through are torpid and banal",148380,0.18056,very negative,0,7771,3
690,"Schaeffer has to find some hook on which to hang his persistently useless movies , and it might as well be the resuscitation of the middle-aged character .",148419,0.27778,negative,1,7905,3
691,Scooby Dooby Doo \/ And Shaggy too \/ You both look and sound great .,225706,0.72222,positive,3,7890,3
692,"Scores no points for originality , wit , or intelligence .",225707,0.15278,very negative,0,7506,3
693,"Scorsese at his best makes gangster films that are equally lovely but also relentlessly brutal and brutally intelligent ; Perdition , meanwhile , reads more like Driving Miss Daisy than GoodFellas .",148454,0.56944,neutral,2,7671,3
694,Scorsese does n't give us a character worth giving a damn about .,148455,0.20833,negative,1,7870,3
695,"Seldahl 's Barbara is a precise and moving portrait of someone whose world is turned upside down , first by passion and then by illness .",26551,0.66667,positive,3,1233,3
696,Seldom has a movie so closely matched the spirit of a man and his work .,46711,0.90278,very positive,4,1398,3
697,Serving Sara does n't serve up a whole lot of laughs .,148499,0.36111,negative,1,7806,3
698,"Shaky close-ups of turkey-on-rolls , stubbly chins , liver spots , red noses and the filmmakers new bobbed do draw easy chuckles but lead nowhere .",148530,0.29167,negative,1,7815,3
699,Should have been someone else -,148565,0.36111,negative,1,7386,3
700,Simplistic fluff-ball of whimsy .,148599,0.43056,neutral,2,7486,3
701,"Sit through this one , and you wo n't need a magic watch to stop time ; your DVD player will do it for you .",148621,0.23611,negative,1,7730,3
702,"Skins has a right to yawp , and we have a right to our grains of salt .",148628,0.47222,neutral,2,7851,3
703,"Slapstick buffoonery can tickle many a preschooler 's fancy , but when it costs a family of four about $ 40 to see a film in theaters , why spend money on a dog like this when you can rent a pedigree instead ?",148638,0.16667,very negative,0,7642,3
704,Slick piece of cross-promotion .,148643,0.65278,positive,3,7353,3
705,"Smart , provocative and blisteringly funny .",46749,0.77778,positive,3,1622,3
706,Smith is careful not to make fun of these curious owners of architectural oddities .,225823,0.55556,neutral,2,1575,3
707,"So , too , is this comedy about mild culture clashing in today 's New Delhi .",225827,0.65278,positive,3,1627,3
708,So devoid of any kind of intelligible story that it makes films like XXX and Collateral Damage seem like thoughtful treatises,148669,0.055556,very negative,0,7750,3
709,"So much facile technique , such cute ideas , so little movie .",148675,0.625,positive,3,7436,3
710,So refreshingly incisive is Grant that for the first time he 'll probably appeal more to guys than to their girlfriends who drag them to this movie for the Hugh factor .,26608,0.66667,positive,3,1223,3
711,"So unassuming and pure of heart , you ca n't help but warmly extend your arms and yell ` Safe ! '",26609,0.73611,positive,3,1221,3
712,So unremittingly awful that labeling it a dog probably constitutes cruelty to canines .,148685,0.0,very negative,0,7550,3
713,Socrates motions for hemlock .,225845,0.48611,neutral,2,7582,3
714,"Some of it is clever , but it is never melodic \/",225880,0.41667,neutral,2,7712,3
715,"Some of their jokes work , but most fail miserably and in the end , Pumpkin is far more offensive than it is funny .",148746,0.20833,negative,1,7897,3
716,"Something akin to a Japanese Alice Through the Looking Glass , except that it seems to take itself far more seriously .",148757,0.61111,positive,3,7819,3
717,Something like scrubbing the toilet .,225896,0.22222,negative,1,7887,3
718,"Sometimes it feels as if it might have been made in the '70s or '80s , and starred Chevy Chase and Goldie Hawn .",148760,0.44444,neutral,2,7904,3
719,Sometimes seems less like storytelling than something the otherwise compelling director needed to get off his chest .,148761,0.27778,negative,1,7453,3
720,Star Trek : Nemesis meekly goes where nearly every Star Trek movie has gone before .,148829,0.44444,neutral,2,7589,3
721,Stealing Harvard aspires to comedic grand larceny but stands convicted of nothing more than petty theft of your time .,148857,0.23611,negative,1,7613,3
722,"Stealing Harvard is evidence that the Farrelly Bros. -- Peter and Bobby -- and their brand of screen comedy are wheezing to an end , along with Green 's half-hearted movie career .",225965,0.13889,very negative,0,7636,3
723,"Stephen Rea , Aidan Quinn , and Alan Bates play Desmond 's legal eagles , and when joined by Brosnan , the sight of this grandiloquent quartet lolling in pretty Irish settings is a pleasant enough thing , ` tis .",46808,0.81944,very positive,4,1531,3
724,"Sticky sweet sentimentality , clumsy plotting and a rosily myopic view of life in the WWII-era Mississippi Delta undermine this adaptation .",148874,0.125,very negative,0,7787,3
725,"Still , as a visual treat , the film is almost unsurpassed .",26649,0.81944,very positive,4,1220,3
726,"Stultifyingly , dumbfoundingly , mind-numbingly bad .",225991,0.055556,very negative,0,7830,3
727,Suffers from the lack of a compelling or comprehensible narrative .,226003,0.18056,very negative,0,1219,3
728,"Suffocated by its fussy script and uptight characters , this musty adaptation is all the more annoying since it 's been packaged and sold back to us by Hollywood .",148922,0.18056,very negative,0,7727,3
729,"Sustains its dreamlike glide through a succession of cheesy coincidences and voluptuous cheap effects , not the least of which is Rebecca Romijn-Stamos .",148956,0.36111,negative,1,7648,3
730,Taylor appears to have blown his entire budget on soundtrack rights and had nothing left over for jokes .,149029,0.097222,very negative,0,7354,3
731,Teen movies have really hit the skids .,149040,0.27778,negative,1,7732,3
732,"Thanks to Haynes ' absolute control of the film 's mood , and buoyed by three terrific performances , Far From Heaven actually pulls off this stylistic juggling act .",46891,0.77778,positive,3,1563,3
733,"Thanks to Scott 's charismatic Roger and Eisenberg 's sweet nephew , Roger Dodger is one of the most compelling variations on In the Company of Men .",26703,0.90278,very positive,4,1287,3
734,That 's a cheat .,226069,0.30556,negative,1,7564,3
735,That 's pure PR hype .,226077,0.26389,negative,1,7632,3
736,"That dogged good will of the parents and ` vain ' Jia 's defoliation of ego , make the film touching despite some doldrums .",46896,0.75,positive,3,1470,3
737,That is a compliment to Kuras and Miller .,226085,0.68056,positive,3,1336,3
738,The Chateau cleverly probes the cross-cultural differences between Gauls and Yanks .,46900,0.66667,positive,3,1435,3
739,The Cold Turkey would 've been a far better title .,149085,0.33333,negative,1,7422,3
740,"The French are rather good at this kind of thing , unlike the Americans , who have a passion for Musketeers , only to spoof them .",46912,0.55556,neutral,2,1424,3
741,The Iditarod lasts for days - this just felt like it did .,149104,0.19444,very negative,0,7382,3
742,"The Lion King was a roaring success when it was released eight years ago , but on Imax it seems better , not just bigger .",46927,0.77778,positive,3,1652,3
743,"The Man From Elysian Fields is a cold , bliss-less work that groans along thinking itself some important comment on how life throws us some beguiling curves .",149119,0.18056,very negative,0,7836,3
744,"The Movie could have been made 40 years ago , and parents ' appreciation of it may depend on whether they consider that a good thing .",226135,0.59722,neutral,2,7412,3
745,"The Movie is what happens when you blow up small potatoes to 10 times their natural size , and it ai n't pretty .",226141,0.18056,very negative,0,7452,3
746,The Son 's Room is a triumph of gentility that earns its moments of pathos .,46960,0.68056,positive,3,1413,3
747,The Wild Thornberrys Movie is a jolly surprise .,46971,0.77778,positive,3,1367,3
748,"The X potion gives the quickly named Blossom , Bubbles and Buttercup supernatural powers that include extraordinary strength and laser-beam eyes , which unfortunately do n't enable them to discern flimsy screenplays .",149179,0.30556,negative,1,7846,3
749,"The acting , costumes , music , cinematography and sound are all astounding given the production 's austere locales .",26753,0.90278,very positive,4,1214,3
750,"The action switches between past and present , but the material link is too tenuous to anchor the emotional connections that purport to span a 125-year divide .",149196,0.31944,negative,1,7755,3
751,"The actors are appealing , but Elysian Fields is idiotic and absurdly sentimental .",149201,0.47222,neutral,2,7797,3
752,The affectionate loopiness that once seemed congenital to Demme 's perspective has a tough time emerging from between the badly dated cutesy-pie mystery scenario and the newfangled Hollywood post-production effects .,149216,0.19444,very negative,0,7743,3
753,The best film about baseball to hit theaters since Field of Dreams .,26766,0.83333,very positive,4,1248,3
754,"The best revenge may just be living well because this film , unlike other Dumas adaptations , is far more likened to a treasure than a lengthy jail sentence .",26768,0.73611,positive,3,1303,3
755,The best that can be said about the work here of Scottish director Ritchie ... is that he obviously does n't have his heart in it .,149237,0.30556,negative,1,7351,3
756,The character of ZigZag is not sufficiently developed to support a film constructed around him .,149269,0.33333,negative,1,7804,3
757,The characters are interesting and often very creatively constructed from figure to backstory .,226221,0.84722,very positive,4,1448,3
758,"The continued good chemistry between Carmen and Juni is what keeps this slightly disappointing sequel going , with enough amusing banter -- blessedly curse-free -- to keep both kids and parents entertained .",26778,0.77778,positive,3,1269,3
759,"The director knows how to apply textural gloss , but his portrait of sex-as-war is strictly sitcom .",149305,0.20833,negative,1,7676,3
