,phrase,actual rating,predicted
626,The kind of spectacularly misconceived enterprise that only a sophisticated cinephile could have perpetrated .,neutral,negative
627,"The last 20 minutes are somewhat redeeming , but most of the movie is the same teenage American road-trip drek we 've seen before - only this time you have to read the fart jokes",negative,very negative
628,"The longer the movie goes , the worse it gets , but it 's actually pretty good in the first few minutes .",negative,very negative
629,"The lower your expectations , the more you 'll enjoy it .",negative,very negative
630,The magic of the film lies not in the mysterious spring but in the richness of its performances .,positive,very negative
631,The mesmerizing performances of the leads keep the film grounded and keep the audience riveted .,very positive,very negative
632,"The messages of compassion and mercy are clearly , squarely and specifically expounded via computer animated Old Testament tale of Jonah and the Whale .",neutral,very negative
633,The most compelling Wiseman epic of recent years .,very positive,positive
634,"The most hopelessly monotonous film of the year , noteworthy only for the gimmick of being filmed as a single unbroken 87-minute take .",very negative,neutral
635,The movie 's relatively simple plot and uncomplicated morality play well with the affable cast .,positive,neutral
636,The movie does a good job of laying out some of the major issues that we encounter as we journey through life .,positive,negative
637,The movie is beautiful to behold and engages one in a sense of epic struggle -- inner and outer -- that 's all too rare in Hollywood 's hastier productions .,very positive,neutral
638,"The movie is for fans who ca n't stop loving anime , and the fanatical excess built into it .",neutral,negative
639,"The movie is n't just hilarious : It 's witty and inventive , too , and in hindsight , it is n't even all that dumb .",very positive,negative
640,"The movie occasionally threatens to become didactic , but it 's too grounded in the reality of its characters to go over the edge .",neutral,negative
641,The movie understands like few others how the depth and breadth of emotional intimacy give the physical act all of its meaning and most of its pleasure .,very positive,very negative
642,The notion that bombing buildings is the funniest thing in the world goes entirely unexamined in this startlingly unfunny comedy .,very negative,negative
643,"The old-world - meets-new mesh is incarnated in the movie 's soundtrack , a joyful effusion of disco Bollywood that , by the end of Monsoon Wedding , sent my spirit soaring out of the theater .",very positive,very negative
644,The only excitement comes when the credits finally roll and you get to leave the theater .,very negative,negative
645,The overall effect is less like a children 's movie than a recruitment film for future Hollywood sellouts .,negative,very negative
646,The performances take the movie to a higher level .,very positive,negative
647,The piece plays as well as it does thanks in large measure to Anspaugh 's three lead actresses .,positive,very negative
648,The plot convolutions ultimately add up to nothing more than jerking the audience 's chain .,very negative,negative
649,The primitive force of this film seems to bubble up from the vast collective memory of the combatants .,positive,very negative
650,The quality of the art combined with the humor and intelligence of the script allow the filmmakers to present the biblical message of forgiveness without it ever becoming preachy or syrupy .,positive,negative
651,"The result is a gaudy bag of stale candy , something from a Halloween that died .",negative,very negative
652,"The script kicks in , and Mr. Hartley 's distended pace and foot-dragging rhythms follow .",negative,neutral
653,The second coming of Harry Potter is a film far superior to its predecessor .,very positive,negative
654,"The sort of film that makes me miss Hitchcock , but also feel optimistic that there 's hope for popular cinema yet .",positive,very negative
655,"The special effects and many scenes of weightlessness look as good or better than in the original , while the Oscar-winning sound and James Horner 's rousing score make good use of the hefty audio system .",positive,very negative
656,The story and structure are well-honed .,positive,very negative
657,The story and the friendship proceeds in such a way that you 're watching a soap opera rather than a chronicle of the ups and downs that accompany lifelong friendships .,negative,very negative
658,The structure the film takes may find Matt Damon and Ben Affleck once again looking for residuals as this officially completes a Good Will Hunting trilogy that was never planned .,positive,negative
659,The subtle strength of `` Elling '' is that it never loses touch with the reality of the grim situation .,positive,very negative
660,The talented and clever Robert Rodriguez perhaps put a little too much heart into his first film and did n't reserve enough for his second .,negative,neutral
661,"The techno tux is good for a few laughs , as are Chan and Hewitt , but when such a good design turns out to be a cheap knockoff , we ca n't recommend anything but a rental for The Tuxedo .",neutral,very negative
662,The terrific and bewilderingly underrated Campbell Scott gives a star performance that is nothing short of mesmerizing .,very positive,positive
663,"The title not only describes its main characters , but the lazy people behind the camera as well .",negative,very negative
664,"The twist that ends the movie is the one with the most emotional resonance , but twists are getting irritating , and this is the kind of material where the filmmakers should be very careful about raising eyebrows .",neutral,negative
665,"The very definition of the ` small ' movie , but it is a good stepping stone for director Sprecher .",positive,negative
666,"The vintage is pure ' 87 , with a halfhearted twist on its cautionary message : Fatal Attraction = do n't have an affair with a nutjob ; Unfaithful = do n't if you 're married to one .",neutral,negative
667,"The vitality of the actors keeps the intensity of the film high , even as the strafings blend together .",positive,very negative
668,"The vivid lead performances sustain interest and empathy , but the journey is far more interesting than the final destination .",positive,negative
669,"The volatile dynamics of female friendship is the subject of this unhurried , low-key film that is so off-Hollywood that it seems positively French in its rhythms and resonance .",positive,negative
670,"The weight of the piece , the unerring professionalism of the chilly production , and the fascination embedded in the lurid topic prove recommendation enough .",positive,negative
671,"The whole is quite entertaining , but despite its virtues , there is an unsettled feeling to the film .",neutral,very negative
672,"The words , ` Frankly , my dear , I do n't give a damn , ' have never been more appropriate .",very negative,negative
673,"Thekids will probably stay amused at the kaleidoscope of big , colorful characters .",positive,negative
674,"There 's ... tremendous energy from the cast , a sense of playfulness and excitement that seems appropriate .",positive,very negative
675,There 's a wickedly subversive bent to the best parts of Birthday Girl .,positive,very negative
676,There 's enough melodrama in this Magnolia Primavera to make PTA proud yet director Muccino 's characters are less worthy of Puccini than they are of daytime television .,negative,neutral
677,There 's no emotional pulse to Solaris .,negative,neutral
678,There 's not enough here to justify the almost two hours .,negative,neutral
679,"There 's really only one good idea in this movie , but the director runs with it and presents it with an unforgettable visual panache .",positive,very negative
680,"There 's something auspicious , and daring , too , about the artistic instinct that pushes a majority-oriented director like Steven Spielberg to follow A.I. with this challenging report so liable to unnerve the majority .",positive,very negative
681,"There 's something with potential here , but the movie decides , like Lavinia , to go the conservative route .",neutral,very negative
682,There are plot holes big enough for Shamu the killer whale to swim through .,very negative,negative
683,"There are simply too many ideas floating around -- part farce , part Sliding Doors , part pop video -- and yet failing to exploit them .",negative,very negative
684,There are some wonderfully fresh moments that smooth the moral stiffness with human kindness and hopefulness .,very positive,very negative
685,There has always been something likable about the Marquis de Sade .,positive,very negative
686,"There is a fabric of complex ideas here , and feelings that profoundly deepen them .",positive,very negative
687,"There is n't nearly enough fun here , despite the presence of some appealing ingredients .",negative,very negative
688,There is no pleasure in watching a child suffer .,very negative,negative
689,"There is nothing outstanding about this film , but it is good enough and will likely be appreciated most by sailors and folks who know their way around a submarine .",positive,very negative
690,"There is very little dread or apprehension , and though I like the creepy ideas , they are not executed with anything more than perfunctory skill .",negative,very negative
691,They takes a long time to get to its gasp-inducing ending .,neutral,negative
692,This Nickleby thing might have more homosexual undertones than an Eddie Murphy film .,negative,neutral
693,This disturbing bio-pic is hard to forget .,neutral,negative
694,This flick is about as cool and crowd-pleasing as a documentary can get .,very positive,neutral
695,"This illuminating documentary transcends our preconceived vision of the Holy Land and its inhabitants , revealing the human complexities beneath .",positive,very negative
696,"This is a good script , good dialogue , funny even for adults .",very positive,neutral
697,"This is a shameless sham , calculated to cash in on the popularity of its stars .",very negative,negative
698,"This is a story of two misfits who do n't stand a chance alone , but together they are magnificent .",positive,negative
699,This is a train wreck of an action film -- a stupefying attempt by the filmmakers to force-feed James Bond into the mindless XXX mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs .,negative,very negative
700,"This is a winning ensemble comedy that shows Canadians can put gentle laughs and equally gentle sentiments on the button , just as easily as their counterparts anywhere else in the world .",very positive,positive
701,"This is as respectful a film as Byatt fans could hope for , though lovers of the book may wonder why it 's necessary .",neutral,very negative
702,This is her Blue Lagoon .,neutral,negative
703,"This is human comedy at its most amusing , interesting and confirming .",positive,very negative
704,This is nothing but familiar territory .,neutral,very negative
705,This is so bad .,very negative,negative
706,"This is wild surreal stuff , but brilliant and the camera just kind of sits there and lets you look at this and its like you 're going from one room to the next and none of them have any relation to the other .",very positive,very negative
707,This movie is a snow emergency .,neutral,negative
708,This movie is maddening .,negative,neutral
709,"This movie is something of an impostor itself , stretching and padding its material in a blur of dead ends and distracting camera work .",very negative,negative
710,"This one is definitely one to skip , even for horror movie fanatics .",very negative,negative
711,"This rather superficial arthouse middle-brow film knows how to please a crowd , and that 's about all it does well .",neutral,very negative
712,"This re-do is so dumb and so exploitative in its violence that , ironically , it becomes everything that the rather clumsy original was railing against .",very negative,negative
713,This remake gets all there is to get out of a peculiar premise with promise : Al Pacino loathing Robin Williams .,neutral,negative
714,This riveting World War II moral suspense story deals with the shadow side of American culture : racial prejudice in its ugly and diverse forms .,negative,very negative
715,This surreal Gilliam-esque film is also a troubling interpretation of Ecclesiastes .,positive,negative
716,"This tenth feature is a big deal , indeed -- at least the third-best , and maybe even a notch above the previous runner-up , Nicholas Meyer 's Star Trek VI : The Undiscovered Country .",positive,negative
717,"This time Mr. Burns is trying something in the Martin Scorsese street-realist mode , but his self-regarding sentimentality trips him up again .",negative,neutral
718,"Though Catch Me If You Can is n't badly made , the fun slowly leaks out of the movie .",neutral,very negative
719,"Though Moonlight Mile is replete with acclaimed actors and actresses and tackles a subject that 's potentially moving , the movie is too predictable and too self-conscious to reach a level of high drama .",negative,very negative
720,"Though Perry and Hurley make inspiring efforts to breathe life into the disjointed , haphazard script by Jay Scherick and David Ronn , neither the actors nor director Reginald Hudlin can make it more than fitfully entertaining .",negative,very negative
721,"Though it 's become almost redundant to say so , major kudos go to Leigh for actually casting people who look working-class .",positive,negative
722,"Though only 60 minutes long , the film is packed with information and impressions .",positive,very negative
723,"To my taste , the film 's comic characters come perilously close to being Amoses and Andys for a new generation .",neutral,negative
724,"Too often , the viewer is n't reacting to humor so much as they are wincing back in repugnance .",very negative,negative
725,Trademark American triteness and simplicity are tossed out the window with the intelligent French drama that deftly explores the difficult relationship between a father and son .,positive,very negative
726,Travels a fascinating arc from hope and euphoria to reality and disillusionment .,positive,very negative
727,"Trite , banal , cliched , mostly inoffensive .",very negative,neutral
728,True tale of courage -- and complicity -- at Auschwitz is a harrowing drama that tries to tell of the unspeakable .,positive,very negative
729,"Try as I may , I ca n't think of a single good reason to see this movie , even though everyone in my group extemporaneously shouted , ` Thank you ! '",very negative,negative
730,Two hours fly by -- opera 's a pleasure when you do n't have to endure intermissions -- and even a novice to the form comes away exhilarated .,very positive,negative
731,"Ultimately feels empty and unsatisfying , like swallowing a Communion wafer without the wine .",very negative,negative
732,Under 15 ?,neutral,negative
733,"Unfortunately , it 's not silly fun unless you enjoy really bad movies .",very negative,neutral
734,"Unlike the speedy wham-bam effect of most Hollywood offerings , character development -- and more importantly , character empathy -- is at the heart of Italian for Beginners .",very positive,very negative
735,Uses high comedy to evoke surprising poignance .,very positive,very negative
736,"Uses sharp humor and insight into human nature to examine class conflict , adolescent yearning , the roots of friendship and sexual identity .",very positive,neutral
737,"Utterly lacking in charm , wit and invention , Roberto Benigni 's Pinocchio is an astonishingly bad film .",negative,neutral
738,"Van Wilder does n't bring anything new to the proverbial table , but it does possess a coherence absent in recent crass-a-thons like Tomcats , Freddy Got Fingered , and Slackers .",neutral,very negative
739,Very bad .,very negative,negative
740,Very psychoanalytical -- provocatively so -- and also refreshingly literary .,positive,very negative
741,"Very special effects , brilliantly bold colors and heightened reality ca n't hide the giant Achilles ' heel in `` Stuart Little 2 `` : There 's just no story , folks .",negative,neutral
742,Viewers of `` The Ring '' are more likely to remember the haunting images than the plot holes .,neutral,very negative
743,"Visually imaginative , thematically instructive and thoroughly delightful , it takes us on a roller-coaster ride from innocence to experience without even a hint of that typical kiddie-flick sentimentality .",very positive,negative
744,"Walter Hill 's pulpy , stylized boxing melodrama Undisputed nearly overcomes its questionable in-the-ring match-up with solid fight choreography and gritty prison authenticity .",neutral,very negative
745,"Warm Water Under a Red Bridge is a quirky and poignant Japanese film that explores the fascinating connections between women , water , nature , and sexuality .",very positive,very negative
746,We have n't seen such hilarity since Say It Is n't So !,very positive,negative
747,"We know the plot 's a little crazy , but it held my interest from start to finish .",positive,negative
748,We learn a lot about dying coral and see a lot of life on the reef .,neutral,negative
749,"Weaves a spell over you , with its disturbingly close-up look at damaged psyches and its subtle undercurrents of danger .",neutral,very negative
750,What 's next : `` My Mother the Car ? '',neutral,negative
751,"What 's surprising about Full Frontal is that despite its overt self-awareness , parts of the movie still manage to break past the artifice and thoroughly engage you .",positive,very negative
752,What better message than ` love thyself ' could young women of any size receive ?,positive,neutral
753,What distinguishes Time of Favor from countless other thrillers is its underlying concern with the consequences of words and with the complicated emotions fueling terrorist acts .,positive,negative
754,"What the film lacks in general focus it makes up for in compassion , as Corcuera manages to find the seeds of hope in the form of collective action .",positive,negative
755,"Whenever its story is n't bogged down by idiocy involving the CIA and a lost U.S. satellite , Hunter -- starring Irwin and his American wife\/colleague , Terri -- is a movie children should enjoy .",neutral,very negative
756,"Whereas last year 's exemplary Sexy Beast seemed to revitalize the British gangster movie , this equally brutal outing merely sustains it .",neutral,very negative
757,"Whether writer-director Anne Fontaine 's film is a ghost story , an account of a nervous breakdown , a trip down memory lane , all three or none of the above , it is as seductive as it is haunting .",positive,very negative
758,"Whether you like rap music or loathe it , you ca n't deny either the tragic loss of two young men in the prime of their talent or the power of this movie .",positive,very negative
759,"While Undisputed is n't exactly a high , it is a gripping , tidy little movie that takes Mr. Hill higher than he 's been in a while .",positive,very negative
760,"While it 's nice to watch a movie that has n't been focus-grouped into tedium , Yu 's cinematic alchemy produces nearly as much lead as gold .",neutral,negative
761,"While it regards 1967 as the key turning point of the 20th century , and returns again and again to images of dissidents in the streets , it 's alarmingly current .",neutral,very negative
762,"While its careful pace and seemingly opaque story may not satisfy every moviegoer 's appetite , the film 's final scene is soaringly , transparently moving .",positive,very negative
763,"While locals will get a kick out of spotting Cleveland sites , the rest of the world will enjoy a fast-paced comedy with quirks that might make the award-winning Coen brothers envious .",positive,very negative
764,While much of the cast has charm -- especially Allodi and Nolden -- the performers are sunk by the film 's primitive approach to the mechanics of comedy .,neutral,very negative
765,"While the Resident Evil games may have set new standards for thrills , suspense , and gore for video games , the movie really only succeeds in the third of these .",negative,very negative
766,"While the ideas about techno-saturation are far from novel , they 're presented with a wry dark humor .",very positive,very negative
767,"While the script starts promisingly , it loses steam towards the middle and never really develops beyond attacking obvious target .",neutral,negative
768,"While the stoically delivered hokum of Hart 's War is never fun , it 's still a worthy addition to the growing canon of post-Saving Private Ryan tributes to the greatest generation .",neutral,negative
769,"While there 's something intrinsically funny about Sir Anthony Hopkins saying ` Get in the car , bitch , ' this Jerry Bruckheimer production has little else to offer",positive,very negative
770,Why make a documentary about these marginal historical figures ?,very negative,negative
771,Will amuse and provoke adventurous adults in specialty venues .,very positive,negative
772,"Wince-inducing dialogue , thrift-shop costumes , prosthetic makeup by Silly Putty and Kmart blue-light-special effects all conspire to test Trekkie loyalty .",very negative,negative
773,"With Rabbit-Proof Fence , Noyce has tailored an epic tale into a lean , economical movie .",positive,negative
774,"With an emotional sterility to match its outer space setting , Soderbergh 's spectacular swing for the fence yields only a spectacular whiff .",neutral,negative
775,"With the exception of some fleetingly amusing improvisations by Cedric the Entertainer as Perry 's boss , there is n't a redeeming moment here .",very negative,negative
776,"With tightly organized efficiency , numerous flashbacks and a constant edge of tension , Miller 's film is one of 2002 's involvingly adult surprises .",positive,very negative
777,"Without ever becoming didactic , director Carlos Carrera expertly weaves this novelistic story of entangled interrelationships and complex morality .",positive,negative
778,"Without the dark spookiness of Crystal Lake Camp , the horror concept completely loses its creepy menace .",neutral,negative
779,"Woody Allen 's latest is an ambling , broad comedy about all there is to love -- and hate -- about the movie biz .",positive,neutral
780,Worth watching for Dong Jie 's performance -- and for the way it documents a culture in the throes of rapid change .,positive,very negative
781,"Would n't one about their famous dad , author of Death in Venice , etc. , be more valuable ?",neutral,negative
782,"Writer-director 's Mehta 's effort has tons of charm and the whimsy is in the mixture , the intoxicating masala , of cultures and film genres .",very positive,very negative
783,"Writer\/director Joe Carnahan 's grimy crime drama is a manual of precinct cliches , but it moves fast enough to cover its clunky dialogue and lapses in logic .",positive,negative
784,Writer\/director Mark Romanek spotlights the underlying caste system in America .,neutral,negative
785,Yakusho and Shimizu ... create engaging characterizations in Imamura 's lively and enjoyable cultural mix .,very positive,positive
786,"Yes , dull .",very negative,neutral
787,"You 'll gasp appalled and laugh outraged and possibly , watching the spectacle of a promising young lad treading desperately in a nasty sea , shed an errant tear .",positive,negative
788,You do n't have to know about music to appreciate the film 's easygoing blend of comedy and romance .,very positive,negative
789,"You really have to wonder how on earth anyone , anywhere could have thought they 'd make audiences guffaw with a script as utterly diabolical as this .",very negative,negative
790,You will emerge with a clearer view of how the gears of justice grind on and the death report comes to share airtime alongside the farm report .,positive,negative
791,"You wo n't like Roger , but you will quickly recognize him .",negative,neutral
792,"You wo n't miss its messages , but you 'll be entertained as well .",neutral,negative
793,Zaidan 's script has barely enough plot to string the stunts together and not quite enough characterization to keep the faces straight .,negative,very negative
794,Zhang ... has done an amazing job of getting realistic performances from his mainly nonprofessional cast .,positive,neutral
795,A ' for creativity but comes across more as a sketch for a full-length comedy .,neutral,negative
796,De Niro ... is a veritable source of sincere passion that this Hollywood contrivance orbits around . ',very positive,neutral
797,Easily my choice for one of the year 's best films . ',very positive,very negative
798,They ' begins and ends with scenes so terrifying I 'm still stunned .,neutral,negative
799,"Mostly Martha '' is a bright , light modern day family parable that wears its heart on its sleeve for all to see .",very positive,very negative
800,"The Ring '' is pretty much an English-language copy of the film that inspired it , and it carries the same strengths and flaws .",neutral,very negative
801,The Time Machine '' is a movie that has no interest in itself .,very negative,negative
802,a nightmare date with a half-formed wit done a great disservice by a lack of critical distance and a sad trust in liberal arts college bumper sticker platitudes .,negative,very negative
803,"a quiet , pure , elliptical film",positive,very negative
804,columns from Ladies Home Journal ...,neutral,positive
805,"comes off like a rejected ABC Afterschool Special , freshened up by the dunce of a Screenwriting 101 class .",very negative,negative
806,"deliriously funny , fast and loose , accessible to the uninitiated , and full of surprises",very positive,positive
807,"does paint some memorable images ... , but Makhmalbaf keeps her distance from the characters",positive,very negative
808,"essentially an exceptionally well-written , well-edited , well-directed , well-acted , bald rip-off of Aliens .",neutral,very negative
809,"if you are an actor who can relate to the search for inner peace by dramatically depicting the lives of others onstage , then Esther 's story is a compelling quest for truth .",positive,very negative
810,"may not have generated many sparks , but with his affection for Astoria and its people he has given his tale a warm glow .",neutral,very negative
811,should be seen at the very least for its spasms of absurdist humor .,neutral,negative
812,the film tunes into a grief that could lead a man across centuries .,positive,very negative
813,"what really makes it special is that it pulls us into its world , gives us a hero whose suffering and triumphs we can share , surrounds him with interesting characters and sends us out of the theater feeling we 've shared a great adventure .",very positive,very negative
